Salary,Company,Placement (Time in Months),,,
"$80,000 ",Quantum Metric,5,,,
"$82,000 ",General Electric,5,,,
"$100,000 ",Fortanix,4,,,
"$108,000 ",Amazon,3,,,
"$112,000 ",Google,3,,,
"$115,000 ",Cadence Design Systems,3,,,
"$115,200 ",Quantiphi,2,,,
"$120,000 ",eBay,5,,,
"$120,000 ",EasyPost,9,,,
"$125,000 ",Quantcast,3,,,
"$129,000 ",CBS Interactive,6,,,
"$132,000 ",Amazon,1,,,
"$142,000 ",Amazon (audible),6,,,
"$155,000 ",Path AI,5,,,
"$178,000 ",Box,2,,,
"$48,000 ",Chetan,7,,,
"$49,920 ",Aleks - McGraw-Hill,4,,,
"$54,000 ",{UNREPORTED_DATA},7,,,
"$60,000 ",IBM,3,,,
"$62,000 ",QCI,5,,,
"$65,000 ",Office Ally,2,,,
"$65,000 ",WeWork,2,,,
"$65,280 ",Red Hat,1,,,
"$67,200 ",Helitrack,2,,,
"$70,000 ",Ambry,2,,,
"$70,000 ",Innovive,1,,,
"$70,000 ",Charles Schwab,1,,,
"$81,200 ",{UNREPORTED_DATA},8,,,
"$83,200 ",Comcast (through TekSystems) ,7,,,
"$85,000 ",OpenDoor,6,,,
"$85,000 ",{UNREPORTED_DATA},3,,,
"$88,000 ",IDbyDNA,9,,,
"$105,000 ",Expedia,4,,,
"$108,000 ",Amazon,1,,,
"$120,000 ",Oracle,3,,,
"$130,000 ",Pilot.com,3,,,
"$135,000 ",Yelp,6,,,
"$135,000 ",Microsoft,5,,,
"$60,000 ",Ronin Capital,2,,,
"$62,000 ",Envolve,7,,,
"$96,000 ",ConnectIQ,3,,,
"$108,000 ",Amazon,3,,,
"$112,000 ",GE Healthcare,3,,,
"$115,000 ",TrueAccord,3,,,
"$120,000 ",Hubspot,1,,,
"$125,000 ",Rigetti,7,,,
"$132,000 ",Amazon,6,,,
"$135,000 ",Synopsys,5,,,
"$160,062 ",Cisco,1,,,
"$65,000 ",Capgemini,2,,,
"$66,000 ",AnitaB.org,4,,,
"$70,000 ",Dal-Tile,1,,,
"$76,800 ",Nike Inc.,2,,,
"$77,500 ",Performics,3,,,
"$80,000 ",BlockFi,5,,,
"$90,000 ",Step Mobile,8,,,
"$90,000 ",Spruce,1,,,
"$95,000 ",Honeywell,7,,,
"$98,000 ",Landed,6,,,
"$100,000 ",Redroute Inc.,8,,,
"$100,000 ",Accel Robotics,3,,,
"$107,000 ",Altierre,3,,,
"$108,000 ",Amazon,2,,,
"$109,000 ",Amazon,6,,,
"$110,000 ",Samba TV,3,,,
"$134,000 ",Microsoft,7,,,
"$175,000 ",Amazon,3,,,
"$48,000 ",TracFlo,7,,,
"$65,000 ",Mthree Consulting Limited,5,,,
"$65,000 ",BallerTV,3,,,
"$75,000 ",Solstice,6,,,
"$83,196 ",3m,2,,,
"$115,000 ",Hertz,5,,,
"$130,000 ",LeanTaas,6,,,
"$58,500 ",{UNREPORTED_DATA},5,,,
"$60,000 ",Microsoft,5,,,
"$60,000 ",Crossix,5,,,
"$75,000 ",openfin,3,,,
"$88,000 ",CoStar Group,6,,,
"$100,000 ",Blackrock,0,,,
"$108,000 ",Amazon,1,,,
"$132,000 ",Amazon,3,,,
"$150,000 ",Facebook,2,,,
"$85,000 ",KeyCorp,1,,,
"$90,000 ",Fyber,1,,,
"$95,000 ",Octane Landing,5,,,
"$117,000 ",{UNREPORTED_DATA},3,,,
"$73,846 ",VectorWorks,2,,,
"$75,000 ",Vantage Labs,3,,,
"$80,018 ",Fifth Third Bank,3,,,
"$87,500 ",Feed Communications,2,,,
"$89,250 ",Fractal,6,,,
"$92,000 ",Fedex,5,,,
"$108,000 ",Amazon,4,,,
"$112,000 ",Google,0,,,
"$115,000 ",Udemy,5,,,
"$132,000 ",Amazon,5,,,
"$135,000 ",Quizlet,6,,,
"$137,800 ",Chewy,3,,,
"$55,000 ",{UNREPORTED_DATA},4,,,
"$115,000 ",Behold.ai,2,,,
"$120,000 ",Engagio,5,,,
"$60,000 ",e-PlanSoft,5,,,
"$115,000 ",Hubspot,3,,,
"$65,000 ",TensorIOT,3,,,
"$76,000 ",Dominos,5,,,
"$114,500 ",Ebay,3,,,
"$157,000 ",Bolt,3,,,
"$65,000 ",{UNREPORTED_DATA},2,,,
"$75,000 ",{UNREPORTED_DATA},1,,,
"$75,000 ",Alteire,3,,,
"$85,000 ",Nextleaf Analytics,1,,,
"$95,000 ",Zepl,4,,,
"$102,000 ",C3.ai,2,,,
"$110,000 ",EMX,4,,,
"$80,000 ",{UNREPORTED_DATA},3,,,
"$90,000 ",Paytronix Systems,2,,,
"$93,500 ",Thoughtworks,2,,,
"$96,000 ",Target,2,,,
"$122,500 ",Kensho,2,,,
"$145,000 ",Qualia Labs,2,,,
"$150,000 ",Osaro,2,,,
"$51,328 ",Shopeee,3,,,
"$62,000 ",Lucid,2,,,
"$130,000 ",Optimus Ride,3,,,
"$70,000 ",Computer Analyst,3,,,
"$80,000 ",Synopsys,3,,,
"$115,000 ",Yearly,2,,,
"$153,000 ",Google,2,,,
"$52,000 ",RedStream Technology LLc,2,,,
"$74,000 ","Perspecta, Inc.",1,,,
"$100,000 ",Reef,1,,,
"$65,000 ","HCL America Solutions, Inc.",1,,,1
"$80,000 ",DeShong Companies LLC,1,,,
"$83,200 ",Iotium,1,,,
"$110,000 ",Microsoft,1,,,
"$125,000 ",Groupon,1,,,
